"","Outcome","RF","N","pr_ci","PR","PR.Lower","PR.Upper","category","source_type"
"521","7-Day Bruising, Negative Control","Heavy Rain, 1 Week Lag","6,579","0.94 (0.71, 1.25)",0.942662659123258,0.709059689239649,1.25322719989656,"1-Week Lag",NA
"531","7-Day Bruising, Negative Control","Heavy Rain, 2 Week Lag","6,579","0.84 (0.63, 1.12)",0.842380503532163,0.632016697966836,1.12276291910303,"2-Week Lag",NA
"541","7-Day Bruising, Negative Control","Heavy Rain, 3 Week Lag","6,579","0.85 (0.64, 1.14)",0.854599994092988,0.639561140811638,1.14194109569711,"3-Week Lag",NA
"530","7-Day Bruising, Negative Control","Weekly sum of precipitation above median, 1 week lag","6,579","0.85 (0.65, 1.12)",0.853274276174729,0.648404448757158,1.12287476092594,"1-Week Lag",NA
"534","7-Day Bruising, Negative Control","Weekly sum of precipitation above median, 2 week lag","6,579","0.82 (0.62, 1.07)",0.816625488908272,0.620353685688977,1.07499512700409,"2-Week Lag",NA
"535","7-Day Bruising, Negative Control","Weekly sum of precipitation above median, 3 week lag","6,579","0.79 (0.6, 1.04)",0.788446090411571,0.600066659671482,1.03596363414962,"3-Week Lag",NA
"99","7-Day Bruising, Negative Control","Distance Tertile From Any Surface Water","6,579","0.88 (0.64, 1.21)",0.882134942282364,0.641377539316673,1.21326677143164,"Close vs. Far","Any Surface Water"
"812","7-Day Bruising, Negative Control","Distance Tertile From Any Surface Water","6,579","0.66 (0.47, 0.94)",0.661515792659948,0.466076506039584,0.938908394368528,"Medium vs. Far","Any Surface Water"
"910","7-Day Bruising, Negative Control","Distance Tertile From Seasonal Surface Water","6,579","0.88 (0.63, 1.24)",0.881618881626477,0.626383176683412,1.24085684509557,"Close vs. Far","Seasonal Surface Water"
"814","7-Day Bruising, Negative Control","Distance Tertile From Seasonal Surface Water","6,579","1.01 (0.73, 1.41)",1.01335414236666,0.730532190804956,1.40566922413121,"Medium vs. Far","Seasonal Surface Water"
"914","7-Day Bruising, Negative Control","Distance Tertile From Ephemeral Surface Water","6,579","0.87 (0.62, 1.22)",0.871241071931976,0.623789497616659,1.21685441694892,"Close vs. Far","Ephemeral Surface Water"
"816","7-Day Bruising, Negative Control","Distance Tertile From Ephemeral Surface Water","6,579","1.05 (0.76, 1.46)",1.05066610386841,0.756907206309212,1.45843407569179,"Medium vs. Far","Ephemeral Surface Water"
"517","7-Day Bruising, Negative Control","Proportion of Area within 250m Radius of Household with Any Surface Water, Above Median","6,579","0.88 (0.67, 1.16)",0.878589974018434,0.666938920016953,1.15740785142077,"250m Radius","Any Surface Water"
"518","7-Day Bruising, Negative Control","Proportion of Area within 250m Radius of Household with Seasonal Surface Water, Above Median","6,579","0.94 (0.71, 1.25)",0.943213326224007,0.709201214847566,1.25444141964389,"250m Radius","Seasonal Surface Water"
"519","7-Day Bruising, Negative Control","Proportion of Area within 250m Radius of Household with Ephemeral Surface Water, Above Median","6,579","0.88 (0.65, 1.18)",0.879171915340842,0.654420297884593,1.18111137326061,"250m Radius","Ephemeral Surface Water"
"520","7-Day Bruising, Negative Control","Proportion of Area within 500m Radius of Household with Any Surface Water, Above Median","6,579","0.82 (0.62, 1.07)",0.817893861754234,0.623685599635065,1.07257626196063,"500m Radius","Any Surface Water"
"524","7-Day Bruising, Negative Control","Proportion of Area within 500m Radius of Household with Seasonal Surface Water, Above Median","6,579","0.9 (0.68, 1.18)",0.895462975245945,0.681201035005331,1.17711791208603,"500m Radius","Seasonal Surface Water"
"525","7-Day Bruising, Negative Control","Proportion of Area within 500m Radius of Household with Ephemeral Surface Water, Above Median","6,579","0.88 (0.67, 1.16)",0.884852950068639,0.674206470766827,1.16131300602121,"500m Radius","Ephemeral Surface Water"
"526","7-Day Bruising, Negative Control","Proportion of Area within 750m Radius of Household with Any Surface Water, Above Median","6,579","0.77 (0.59, 1.01)",0.76859881255463,0.585477555852535,1.00899535559512,"750m Radius","Any Surface Water"
"527","7-Day Bruising, Negative Control","Proportion of Area within 750m Radius of Household with Seasonal Surface Water, Above Median","6,579","0.85 (0.65, 1.12)",0.854149456272618,0.648694526189906,1.12467619841951,"750m Radius","Seasonal Surface Water"
"528","7-Day Bruising, Negative Control","Proportion of Area within 750m Radius of Household with Ephemeral Surface Water, Above Median","6,579","0.84 (0.64, 1.1)",0.837939808534069,0.636674613291945,1.10282883606064,"750m Radius","Ephemeral Surface Water"
